Biological Process,Sample 1 Biological Process Count,Sample 2 Biological Process Count
http://purl.obolibrary.org/obo/GO_0042823,419,460
http://purl.obolibrary.org/obo/GO_0006694,175,201
http://purl.obolibrary.org/obo/GO_0006559,196,185
http://purl.obolibrary.org/obo/GO_0006570,196,185
http://purl.obolibrary.org/obo/GO_0006801,382,515
http://purl.obolibrary.org/obo/GO_0015813,132,125
http://purl.obolibrary.org/obo/GO_0008360,222,274
http://purl.obolibrary.org/obo/GO_0044238,118,192
http://purl.obolibrary.org/obo/GO_0006432,478,536
http://purl.obolibrary.org/obo/GO_1902604,131,161
http://purl.obolibrary.org/obo/GO_0006109,278,337
http://purl.obolibrary.org/obo/GO_0006402,140,185
http://purl.obolibrary.org/obo/GO_0042274,192,222
http://purl.obolibrary.org/obo/GO_0015727,125,162
http://purl.obolibrary.org/obo/GO_0006120,197,201
http://purl.obolibrary.org/obo/GO_0015886,168,190
http://purl.obolibrary.org/obo/GO_0045892,246,196
http://purl.obolibrary.org/obo/GO_0007264,195,160
http://purl.obolibrary.org/obo/GO_0000256,282,285
http://purl.obolibrary.org/obo/GO_0051156,148,160
http://purl.obolibrary.org/obo/GO_0046417,163,187
http://purl.obolibrary.org/obo/GO_0006796,125,133
http://purl.obolibrary.org/obo/GO_0006760,186,143
http://purl.obolibrary.org/obo/GO_0033539,126,152
http://purl.obolibrary.org/obo/GO_0019281,192,208
http://purl.obolibrary.org/obo/GO_0006323,230,543
http://purl.obolibrary.org/obo/GO_0006021,171,148
http://purl.obolibrary.org/obo/GO_0017003,132,140
http://purl.obolibrary.org/obo/GO_0018193,104,102
http://purl.obolibrary.org/obo/GO_0051262,144,161
http://purl.obolibrary.org/obo/GO_0006188,311,347
http://purl.obolibrary.org/obo/GO_0010038,124,130
http://purl.obolibrary.org/obo/GO_0035429,109,101
http://purl.obolibrary.org/obo/GO_0007049,248,274
http://purl.obolibrary.org/obo/GO_0019354,124,128
http://purl.obolibrary.org/obo/GO_0006450,134,143
http://purl.obolibrary.org/obo/GO_0006505,112,112
http://purl.obolibrary.org/obo/GO_0006886,292,280
http://purl.obolibrary.org/obo/GO_0006486,186,179
http://purl.obolibrary.org/obo/GO_0009166,179,150
http://purl.obolibrary.org/obo/GO_0022900,157,183
http://purl.obolibrary.org/obo/GO_0006071,316,298
http://purl.obolibrary.org/obo/GO_0010033,146,119
http://purl.obolibrary.org/obo/GO_0061024,146,119
http://purl.obolibrary.org/obo/GO_0006423,128,136
http://purl.obolibrary.org/obo/GO_0017187,105,118
http://purl.obolibrary.org/obo/GO_0006470,147,163
http://purl.obolibrary.org/obo/GO_0006438,107,132
http://purl.obolibrary.org/obo/GO_0006605,165,181
http://purl.obolibrary.org/obo/GO_0006269,205,163
http://purl.obolibrary.org/obo/GO_0009307,178,228
http://purl.obolibrary.org/obo/GO_0009103,100,134
http://purl.obolibrary.org/obo/GO_0009308,215,176
http://purl.obolibrary.org/obo/GO_0031388,103,122
http://purl.obolibrary.org/obo/GO_0006308,161,227
http://purl.obolibrary.org/obo/GO_0006744,173,237
http://purl.obolibrary.org/obo/GO_0009401,194,186
http://purl.obolibrary.org/obo/GO_0009394,127,144
http://purl.obolibrary.org/obo/GO_0046653,93,101
http://purl.obolibrary.org/obo/GO_0000723,138,137
http://purl.obolibrary.org/obo/GO_0006064,135,186
http://purl.obolibrary.org/obo/GO_0006012,152,144
http://purl.obolibrary.org/obo/GO_0042619,75,70
http://purl.obolibrary.org/obo/GO_0051188,81,80
http://purl.obolibrary.org/obo/GO_0007034,130,123
http://purl.obolibrary.org/obo/GO_0006282,79,81
http://purl.obolibrary.org/obo/GO_0019645,68,68
http://purl.obolibrary.org/obo/GO_0006672,105,88
http://purl.obolibrary.org/obo/GO_0009117,73,85
http://purl.obolibrary.org/obo/GO_0009056,84,97
http://purl.obolibrary.org/obo/GO_0007186,164,75
http://purl.obolibrary.org/obo/GO_0006742,75,100
http://purl.obolibrary.org/obo/GO_0019363,75,100
http://purl.obolibrary.org/obo/GO_0006527,122,127
http://purl.obolibrary.org/obo/GO_0006481,77,57
http://purl.obolibrary.org/obo/GO_0008218,81,117
http://purl.obolibrary.org/obo/GO_0034258,79,92
http://purl.obolibrary.org/obo/GO_0015672,64,71
http://purl.obolibrary.org/obo/GO_0006535,69,70
http://purl.obolibrary.org/obo/GO_0006303,91,56
http://purl.obolibrary.org/obo/GO_0016598,129,115
http://purl.obolibrary.org/obo/GO_0042256,72,63
http://purl.obolibrary.org/obo/GO_0006523,75,88
http://purl.obolibrary.org/obo/GO_0006259,86,185
http://purl.obolibrary.org/obo/GO_0006388,153,170
http://purl.obolibrary.org/obo/GO_0000271,113,123
http://purl.obolibrary.org/obo/GO_0042919,26,22
http://purl.obolibrary.org/obo/GO_0046439,46,57
http://purl.obolibrary.org/obo/GO_0030488,92,74
http://purl.obolibrary.org/obo/GO_0006665,41,42
http://purl.obolibrary.org/obo/GO_0009403,71,89
http://purl.obolibrary.org/obo/GO_0007018,52,51
http://purl.obolibrary.org/obo/GO_0015878,81,65
http://purl.obolibrary.org/obo/GO_0006433,60,69
http://purl.obolibrary.org/obo/GO_0016579,50,34
http://purl.obolibrary.org/obo/GO_0008295,78,79
http://purl.obolibrary.org/obo/GO_0006084,48,69
http://purl.obolibrary.org/obo/GO_0009264,29,44
http://purl.obolibrary.org/obo/GO_0006878,53,54
http://purl.obolibrary.org/obo/GO_0002128,42,43
http://purl.obolibrary.org/obo/GO_0005978,30,37
http://purl.obolibrary.org/obo/GO_0043419,43,57
http://purl.obolibrary.org/obo/GO_0034220,83,81
http://purl.obolibrary.org/obo/GO_0006401,55,53
http://purl.obolibrary.org/obo/GO_0055070,27,38
http://purl.obolibrary.org/obo/GO_0006213,58,46
http://purl.obolibrary.org/obo/GO_0019299,62,56
http://purl.obolibrary.org/obo/GO_0015628,43,49
http://purl.obolibrary.org/obo/GO_0000917,70,63
http://purl.obolibrary.org/obo/GO_0006013,45,48
http://purl.obolibrary.org/obo/GO_0006479,17,22
http://purl.obolibrary.org/obo/GO_0030435,26,29
http://purl.obolibrary.org/obo/GO_0046677,29,48
http://purl.obolibrary.org/obo/GO_0051259,40,46
http://purl.obolibrary.org/obo/GO_0019491,27,38
http://purl.obolibrary.org/obo/GO_0006820,20,24
http://purl.obolibrary.org/obo/GO_0019670,20,6
http://purl.obolibrary.org/obo/GO_0046688,34,46
http://purl.obolibrary.org/obo/GO_0006827,37,42
http://purl.obolibrary.org/obo/GO_0006511,70,68
http://purl.obolibrary.org/obo/GO_0007608,3,1
http://purl.obolibrary.org/obo/GO_0009072,18,22
http://purl.obolibrary.org/obo/GO_0006004,30,32
http://purl.obolibrary.org/obo/GO_0043165,40,36
http://purl.obolibrary.org/obo/GO_0006452,32,38
http://purl.obolibrary.org/obo/GO_0045901,32,38
http://purl.obolibrary.org/obo/GO_0045905,32,38
http://purl.obolibrary.org/obo/GO_0006525,38,43
