Input Class,Property,Output Class
http://purl.obolibrary.org/obo/ENVO_01000651,http://purl.obolibrary.org/obo/RO_0002131,http://purl.obolibrary.org/obo/ENVO_00000000
http://purl.obolibrary.org/obo/ENVO_03000118,http://purl.obolibrary.org/obo/RO_0002220,http://purl.obolibrary.org/obo/ENVO_01000543
http://purl.obolibrary.org/obo/ENVO_00000097,http://purl.obolibrary.org/obo/envo#has_condition,http://purl.obolibrary.org/obo/ENVO_01000230
http://purl.obolibrary.org/obo/ENVO_01000406,http://purl.obolibrary.org/obo/RO_0002473,http://purl.obolibrary.org/obo/ENVO_01000277
http://purl.obolibrary.org/obo/ENVO_00000016,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/ENVO_01000815
http://purl.obolibrary.org/obo/ENVO_03000062,http://purl.obolibrary.org/obo/RO_0002234,http://purl.obolibrary.org/obo/ENVO_03000073
http://purl.obolibrary.org/obo/ENVO_01000721,http://purl.obolibrary.org/obo/RO_0002234,http://purl.obolibrary.org/obo/ENVO_00002011
http://purl.obolibrary.org/obo/ENVO_03000068,http://purl.obolibrary.org/obo/RO_0002354,http://purl.obolibrary.org/obo/ENVO_03000058
http://purl.obolibrary.org/obo/ENVO_01000889,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_01000180
http://purl.obolibrary.org/obo/ENVO_01000339,http://purl.obolibrary.org/obo/ENVO_2100001,http://purl.obolibrary.org/obo/PCO_0000002
http://purl.obolibrary.org/obo/ENVO_03000093,http://purl.obolibrary.org/obo/RO_0002411,http://purl.obolibrary.org/obo/ENVO_02500004
http://purl.obolibrary.org/obo/ENVO_03000083,http://purl.obolibrary.org/obo/RO_0000056,http://purl.obolibrary.org/obo/ENVO_03000094
http://purl.obolibrary.org/obo/ENVO_03000042,http://purl.obolibrary.org/obo/RO_0000057,http://purl.obolibrary.org/obo/ENVO_01000277
http://purl.obolibrary.org/obo/ENVO_00000307,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/ENVO_00000000
http://purl.obolibrary.org/obo/ENVO_01000543,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_01000281
http://purl.obolibrary.org/obo/ENVO_00000478,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/ENVO_00000000
http://purl.obolibrary.org/obo/ENVO_01000720,http://purl.obolibrary.org/obo/RO_0002234,http://purl.obolibrary.org/obo/ENVO_01000815
http://purl.obolibrary.org/obo/ENVO_03000005,http://purl.obolibrary.org/obo/RO_0002353,http://purl.obolibrary.org/obo/ENVO_03000006
http://purl.obolibrary.org/obo/ENVO_01000293,http://purl.obolibrary.org/obo/RO_0002473,http://purl.obolibrary.org/obo/ENVO_01000277
http://purl.obolibrary.org/obo/ENVO_00000016,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_01000819
http://purl.obolibrary.org/obo/ENVO_03000003,http://purl.obolibrary.org/obo/RO_0002234,http://purl.obolibrary.org/obo/ENVO_03000000
http://purl.obolibrary.org/obo/ENVO_03000003,http://purl.obolibrary.org/obo/RO_0002234,http://purl.obolibrary.org/obo/ENVO_03000002
http://purl.obolibrary.org/obo/ENVO_01000339,http://purl.obolibrary.org/obo/envo#has_condition,http://purl.obolibrary.org/obo/ENVO_01000238
http://purl.obolibrary.org/obo/ENVO_01000078,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_00000447
http://purl.obolibrary.org/obo/ENVO_03000076,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/ENVO_01000406
http://purl.obolibrary.org/obo/ENVO_03000077,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/ENVO_03000076
http://purl.obolibrary.org/obo/ENVO_03000055,http://purl.obolibrary.org/obo/RO_0002233,http://purl.obolibrary.org/obo/ENVO_01000815
http://purl.obolibrary.org/obo/ENVO_03000006,http://purl.obolibrary.org/obo/RO_0000057,http://purl.obolibrary.org/obo/ENVO_01000281
http://purl.obolibrary.org/obo/ENVO_03000086,http://purl.obolibrary.org/obo/RO_0002234,http://purl.obolibrary.org/obo/ENVO_01000815
http://purl.obolibrary.org/obo/ENVO_03000058,http://purl.obolibrary.org/obo/RO_0002234,http://purl.obolibrary.org/obo/ENVO_03000068
http://purl.obolibrary.org/obo/ENVO_03000104,http://purl.obolibrary.org/obo/RO_0002084,http://purl.obolibrary.org/obo/ENVO_03000103
http://purl.obolibrary.org/obo/ENVO_01000268,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_01000281
http://purl.obolibrary.org/obo/ENVO_01000268,http://purl.obolibrary.org/obo/RO_0000087,http://purl.obolibrary.org/obo/CHEBI_76413
http://purl.obolibrary.org/obo/ENVO_01000819,http://purl.obolibrary.org/obo/RO_0002473,http://purl.obolibrary.org/obo/ENVO_01000815
http://purl.obolibrary.org/obo/ENVO_03000004,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_00000133
http://purl.obolibrary.org/obo/ENVO_01000406,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/ENVO_00002005
http://purl.obolibrary.org/obo/ENVO_03000063,http://purl.obolibrary.org/obo/RO_0002353,http://purl.obolibrary.org/obo/ENVO_03000056
http://purl.obolibrary.org/obo/ENVO_00000016,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_00000447
http://purl.obolibrary.org/obo/ENVO_03000082,http://purl.obolibrary.org/obo/RO_0002354,http://purl.obolibrary.org/obo/ENVO_03000086
http://purl.obolibrary.org/obo/ENVO_03000033,http://purl.obolibrary.org/obo/RO_0002353,http://purl.obolibrary.org/obo/ENVO_03000036
http://purl.obolibrary.org/obo/ENVO_03000061,http://purl.obolibrary.org/obo/RO_0002234,http://purl.obolibrary.org/obo/ENVO_03000072
http://purl.obolibrary.org/obo/ENVO_01000406,http://purl.obolibrary.org/obo/RO_0002353,http://purl.obolibrary.org/obo/ENVO_03000010
http://purl.obolibrary.org/obo/ENVO_01000720,http://purl.obolibrary.org/obo/RO_0002233,http://purl.obolibrary.org/obo/ENVO_01000815
http://purl.obolibrary.org/obo/ENVO_00000020,http://purl.obolibrary.org/obo/RO_0001025,http://purl.obolibrary.org/obo/ENVO_00000000
http://purl.obolibrary.org/obo/ENVO_01001104,http://purl.obolibrary.org/obo/BFO_0000067,http://purl.obolibrary.org/obo/ENVO_03000010
http://purl.obolibrary.org/obo/ENVO_03000083,http://purl.obolibrary.org/obo/RO_0002220,http://purl.obolibrary.org/obo/ENVO_01000281
http://purl.obolibrary.org/obo/ENVO_03000018,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_01000819
http://purl.obolibrary.org/obo/ENVO_03000048,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_03000065
http://purl.obolibrary.org/obo/ENVO_00000207,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_00000015
http://purl.obolibrary.org/obo/ENVO_01000719,http://purl.obolibrary.org/obo/RO_0002234,http://purl.obolibrary.org/obo/ENVO_00002011
http://purl.obolibrary.org/obo/ENVO_01000666,http://purl.obolibrary.org/obo/RO_0002220,http://purl.obolibrary.org/obo/ENVO_01000323
http://purl.obolibrary.org/obo/ENVO_03000082,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_03000085
http://purl.obolibrary.org/obo/ENVO_02000049,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_01000819
